"";"short_name";"preferred_foot";"team_position";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_marking";"defending_standing_tackle";"defending_sliding_tackle";"goalkeeping_diving";"goalkeeping_handling";"goalkeeping_kicking";"goalkeeping_positioning";"goalkeeping_reflexes"
"152";"Pizzi";"Right";"RM";81;76;45;86;77;81;83;76;85;83;82;73;77;83;77;76;67;85;59;78;68;70;84;86;80;85;66;66;52;15;14;9;9;15
"153";"D. Tadić";"Left";"ST";83;83;66;85;79;85;85;76;80;88;68;68;79;84;84;77;61;85;70;73;56;37;83;88;84;87;48;34;26;11;11;14;9;16
"154";"J. Iličić";"Left";"RS";82;81;58;86;80;88;85;85;74;88;72;69;71;83;61;88;33;70;72;89;58;46;83;87;78;80;53;32;26;13;13;8;12;6
"155";"R. Mahrez";"Left";"SUB";81;77;48;78;76;90;84;78;75;90;87;82;92;77;87;79;60;76;54;80;48;39;79;81;70;84;45;31;22;15;9;13;11;6
"156";"E. Višća";"Right";"RM";82;80;45;83;74;81;74;60;71;84;90;87;93;80;89;80;69;90;58;77;47;52;83;79;75;82;55;40;40;8;14;14;12;16
"157";"Felipe";"Right";"LCB";45;39;81;72;44;57;32;30;67;64;60;67;52;80;55;46;90;79;88;41;92;82;34;50;47;75;85;85;80;9;11;14;9;7
"158";"Fabián";"Left";"LCM";72;79;67;81;67;85;75;59;81;85;68;63;72;83;66;75;46;73;69;83;68;77;82;84;67;77;70;78;75;16;11;7;13;13
"159";"A. Romagnoli";"Left";"LCB";36;30;77;72;28;65;36;24;71;70;60;66;60;78;53;64;78;72;80;46;85;86;31;45;34;76;88;86;82;9;14;12;8;9
"160";"G. Lo Celso";"Left";"SUB";78;80;57;83;69;85;82;71;83;86;76;78;83;82;79;82;63;79;70;76;72;71;79;85;65;81;61;67;62;10;7;10;15;14
"161";"T. Alexander-Arnold";"Right";"RB";88;56;68;81;50;76;82;80;82;82;79;81;74;82;74;76;66;83;62;63;73;79;73;78;55;75;76;83;79;14;15;14;6;7
"162";"L. Jović";"Right";"SUB";67;86;79;74;84;81;77;46;58;83;76;77;78;83;77;83;75;76;78;76;62;23;84;70;66;79;25;26;16;8;7;12;9;13
"163";"A. Milik";"Left";"RS";58;88;80;66;78;76;74;84;62;81;67;71;67;77;63;86;64;70;80;82;67;36;85;60;79;78;35;34;32;9;16;16;15;6
"164";"A. Martial";"Right";"ST";72;82;69;78;74;87;84;54;60;86;88;89;84;80;79;84;70;75;74;77;58;42;82;73;81;79;34;39;36;9;8;8;15;11
"165";"Anderson Talisca";"Left";"RW";75;80;77;81;76;82;86;87;79;84;78;76;76;79;70;84;58;79;72;88;67;55;86;81;75;74;53;59;42;13;11;13;12;10
"166";"J. Tah";"Right";"RCB";35;20;80;75;24;55;30;27;69;64;64;77;48;81;38;44;72;64;93;25;76;80;27;61;38;75;83;87;84;11;8;7;9;14
"167";"C. Tolisso";"Right";"RCM";67;75;82;84;62;77;66;73;86;82;73;66;75;83;74;82;83;84;76;81;81;76;79;80;70;74;75;78;71;7;10;14;9;14
"168";"Pau López";"Left";"GK";24;19;15;38;17;18;23;21;41;16;45;52;40;74;57;59;71;42;52;18;39;16;20;62;25;62;19;20;11;82;83;79;82;84
"169";"Gonçalo Guedes";"Right";"LM";78;77;60;77;71;86;76;70;69;81;91;90;82;83;77;85;63;76;68;84;67;50;77;77;69;80;24;34;30;9;12;11;9;9
"170";"N. Pépé";"Left";"RM";78;82;57;75;70;86;79;72;67;82;90;91;91;83;79;80;68;84;68;79;43;28;82;80;85;83;36;27;25;11;14;11;6;8
"171";"M. Akanji";"Right";"RCB";53;36;79;80;42;69;46;30;79;76;70;85;69;84;64;69;81;74;84;48;76;81;33;67;40;80;84;84;80;10;9;13;6;9
"172";"M. Rashford";"Right";"LM";74;81;72;75;76;85;82;76;63;83;89;94;86;81;75;88;72;87;75;79;73;42;84;75;76;78;47;40;33;11;6;15;7;14
"173";"J. Stones";"Right";"RCB";62;29;83;82;27;69;47;29;75;80;65;71;60;82;59;46;75;77;77;38;79;81;49;67;44;82;85;85;82;7;15;11;10;8
"174";"A. Rabiot";"Left";"LCM";70;69;77;85;72;79;73;59;83;84;71;74;79;83;72;80;73;80;83;79;76;80;76;80;67;84;70;81;75;9;12;9;7;15
"175";"Grimaldo";"Left";"LB";84;50;65;81;58;84;85;81;79;83;86;84;84;83;86;79;64;90;63;79;68;81;75;68;51;81;75;78;79;7;13;10;7;13
"176";"T. Werner";"Right";"LS";69;86;77;77;84;83;63;56;55;84;93;92;81;86;76;79;71;83;65;70;63;37;85;61;72;74;39;20;19;9;9;8;15;9
"177";"T. Lemar";"Left";"LM";83;75;54;84;76;85;85;81;75;86;83;83;87;79;86;79;69;77;64;78;63;66;78;84;68;80;55;59;63;11;15;13;7;14
"178";"D. Sánchez";"Right";"SUB";36;40;80;76;28;63;30;27;67;73;68;79;60;79;55;66;75;75;83;44;87;82;34;49;44;75;82;84;86;9;7;10;6;15
"179";"Marco Asensio";"Left";"SUB";82;78;57;82;79;85;83;76;81;87;83;80;79;78;76;86;58;79;61;84;45;45;81;82;62;83;40;42;39;13;9;6;12;10
"180";"L. Digne";"Left";"LB";85;60;71;81;68;78;81;83;73;83;79;78;69;83;78;83;92;85;69;76;76;82;72;73;60;79;78;83;84;6;12;9;6;13
"181";"J. Draxler";"Right";"SUB";81;76;65;84;80;87;78;76;77;88;78;77;80;81;75;86;75;68;66;81;48;66;79;82;65;83;39;64;44;11;13;5;13;8
"182";"J. Pickford";"Left";"GK";17;19;15;55;20;14;18;16;56;40;53;44;55;84;55;65;77;45;70;13;42;24;18;68;45;68;21;20;12;82;78;87;82;86
"183";"Y. Carrasco";"Right";"LM";78;80;53;75;68;88;81;79;71;87;91;90;90;82;71;85;70;74;59;78;61;18;80;71;74;75;53;39;26;9;11;9;10;10
"184";"Borja Iglesias";"Right";"ST";50;86;82;71;71;77;41;36;65;80;65;69;64;78;72;83;70;76;91;82;68;30;84;71;79;82;32;31;18;14;12;16;13;16
"185";"K. Casteels";"Left";"GK";15;15;14;35;13;14;20;13;37;23;44;46;50;82;43;59;58;44;72;18;33;16;15;42;20;40;11;19;17;83;79;79;82;83
"186";"W. Zaha";"Right";"LS";78;78;47;75;64;90;57;51;65;87;88;93;87;77;81;81;58;76;74;70;73;23;78;76;66;81;22;29;28;15;10;15;11;10
"187";"Paco Alcácer";"Right";"ST";53;86;78;79;85;78;85;85;51;82;81;78;84;85;84;82;67;65;64;84;57;26;86;67;71;84;45;24;22;12;14;14;8;5
"188";"Morata";"Right";"LS";73;81;86;78;80;83;76;44;51;82;75;85;66;80;58;80;84;70;79;72;56;24;85;76;70;76;37;14;20;4;5;4;4;5
"189";"S. Haller";"Right";"ST";40;85;86;76;82;76;57;46;45;80;68;76;68;84;53;81;80;72;89;67;76;36;84;75;91;82;39;61;55;6;7;14;7;6
"190";"William Carvalho";"Right";"CDM";68;52;74;81;50;78;80;50;85;81;37;46;45;74;47;69;67;83;91;55;78;81;63;81;60;89;80;80;72;6;6;5;14;14
"191";"F. Bernardeschi";"Left";"SUB";82;68;54;85;74;88;82;80;71;88;82;81;85;80;79;82;49;79;67;82;52;66;78;82;72;82;66;54;50;14;15;10;13;12
"192";"D. Djené";"Right";"RCB";60;29;79;74;22;50;51;48;64;71;74;71;71;81;69;67;79;73;79;27;88;84;49;42;41;72;83;85;82;7;15;7;10;10
"193";"Oscar";"Right";"RCM";81;76;54;86;65;78;77;76;84;84;75;73;88;81;81;80;66;77;38;77;43;45;79;83;70;75;66;52;47;12;10;15;12;12
"194";"K. Trapp";"Right";"GK";13;13;11;25;12;10;14;12;12;24;45;52;42;81;37;59;75;45;73;13;30;22;12;46;17;62;15;14;10;82;77;79;83;85
"195";"Bartra";"Right";"RCB";57;55;80;82;43;68;66;51;81;78;75;72;71;83;70;71;87;69;73;70;80;84;61;75;52;76;79;83;82;10;15;13;12;8
"196";"Pablo Sarabia";"Left";"SUB";84;78;61;83;64;86;84;74;79;85;74;75;79;77;80;76;32;71;57;77;46;58;82;84;69;74;60;54;49;16;7;15;6;14
"197";"J. Cillessen";"Right";"GK";17;10;12;50;19;12;10;10;35;32;54;50;48;80;50;59;71;40;67;15;25;25;11;60;21;61;18;12;11;82;83;78;81;83
"198";"Lucas Moura";"Right";"SUB";75;82;50;77;72;88;71;74;74;83;95;89;93;81;92;79;90;76;57;76;72;50;82;76;74;82;31;43;44;9;10;14;7;14
"199";"F. Thauvin";"Left";"RW";82;80;72;83;75;82;84;72;76;84;87;80;86;83;71;83;77;83;66;80;56;42;84;80;78;82;46;29;31;8;11;14;10;9
"200";"Jorginho";"Right";"CDM";75;57;56;89;71;81;75;76;87;85;61;50;77;81;72;71;58;85;66;62;79;76;68;87;84;79;62;77;70;14;7;13;14;8
"201";"G. Buffon";"Right";"SUB";13;15;13;37;17;26;20;13;35;28;37;30;55;80;49;56;71;34;69;13;38;28;12;50;22;70;13;11;11;78;77;74;91;80
"202";"Casillas";"Left";"RES";13;12;25;21;14;25;25;13;22;23;56;55;60;79;46;46;77;41;70;13;23;22;16;62;24;70;24;11;13;85;75;61;86;84
"203";"R. Jarstein";"Right";"GK";18;13;16;34;16;11;10;14;34;23;40;46;35;76;45;57;59;31;70;18;34;19;15;37;13;55;12;11;13;79;82;76;86;84
"204";"V. Kompany";"Right";"LCB";61;45;83;73;46;63;61;52;66;70;48;51;50;80;41;73;61;65;87;55;83;82;41;59;63;81;85;85;81;10;9;5;8;6
"205";"Raúl Albiol";"Right";"RCB";38;27;77;74;31;59;53;45;72;71;50;46;53;82;56;65;76;45;81;53;81;86;30;57;37;75;89;87;85;8;6;5;9;8
"206";"F. Quagliarella";"Right";"ST";66;89;69;79;88;79;78;78;73;84;70;68;71;84;76;90;68;65;74;89;44;26;87;77;85;84;35;21;15;6;7;5;4;4
"207";"K. Schmeichel";"Right";"GK";18;12;16;44;15;12;13;15;46;40;56;60;62;81;47;59;60;34;64;14;35;20;13;59;26;67;14;14;13;82;77;79;79;88
"208";"Falcao";"Right";"LS";55;86;89;78;83;74;81;72;58;81;66;64;75;82;75;78;90;67;72;77;73;41;90;70;81;85;39;42;19;10;13;6;9;5
"209";"Miranda";"Right";"RCB";48;43;80;70;51;67;32;39;69;71;62;66;61;80;57;70;81;59;77;41;82;85;43;58;49;81;85;85;83;12;6;10;13;12
"210";"C. Vela";"Left";"RW";78;85;67;81;82;84;84;71;66;85;80;80;81;83;81;76;65;74;67;84;57;37;84;81;72;83;31;22;14;8;14;8;13;10
"211";"E. Garay";"Right";"RCB";62;51;80;72;49;60;55;74;72;70;40;45;51;77;33;80;79;66;90;64;80;83;42;63;69;77;82;83;83;14;6;13;13;14
"212";"Rui Patrício";"Left";"GK";12;12;11;31;17;20;10;16;30;23;53;57;61;77;54;58;79;45;77;11;39;22;13;64;32;66;14;13;11;84;80;77;81;82
"213";"R. Nainggolan";"Right";"CAM";73;75;59;84;75;83;73;68;81;84;72;72;75;85;83;84;75;89;76;86;88;86;84;76;63;84;83;86;90;11;11;14;8;11
"214";"E. Banega";"Right";"RCM";80;68;55;86;65;83;83;81;85;85;64;59;74;78;79;76;57;70;67;80;83;79;75;84;78;80;80;79;78;13;8;7;7;10
"215";"Diego Costa";"Right";"SUB";65;85;84;65;81;77;62;59;52;82;71;75;56;83;51;83;63;74;90;74;93;40;84;74;75;83;58;39;30;11;13;12;8;11
"216";"S. Khedira";"Right";"RES";72;68;76;85;78;80;64;60;81;83;48;53;55;84;54;82;66;68;87;78;82;84;78;78;68;84;80;82;74;11;9;5;15;8
"217";"David Luiz";"Right";"LCB";68;55;81;77;63;66;70;76;82;79;58;63;66;77;56;81;78;65;79;73;86;84;54;71;75;77;79;83;81;11;12;10;7;14
"218";"M. Kruse";"Left";"CAM";81;84;63;85;80;83;82;69;82;86;67;65;74;85;77;81;65;73;73;79;62;34;85;85;92;87;57;38;29;12;7;5;13;9
"219";"J. Henderson";"Right";"RCM";82;67;65;84;71;76;80;74;84;81;65;64;69;84;70;77;77;90;74;71;82;80;75;83;64;78;79;80;76;7;13;7;9;13
"220";"G. Sigurðsson";"Right";"CAM";86;78;60;85;75;82;87;86;77;85;57;56;68;79;63;84;65;86;65;86;57;55;79;86;79;84;57;57;55;13;8;10;15;12
"221";"A. Ramsey";"Right";"SUB";75;75;58;84;79;81;70;66;80;83;66;69;73;81;74;81;66;89;67;74;74;69;84;81;75;81;68;72;68;6;11;5;10;8
"222";"Illarramendi";"Right";"RCM";68;72;51;85;58;78;76;68;82;83;62;47;69;84;73;69;62;73;68;76;76;87;79;86;50;79;83;83;80;15;7;11;14;12
"223";"D. Blind";"Left";"LDM";80;62;75;83;66;75;84;62;83;82;61;48;71;85;72;73;72;76;74;65;70;86;66;77;54;83;82;84;79;12;9;10;14;10
"224";"L. Hrádecký";"Right";"GK";11;11;11;15;9;10;11;15;20;20;38;44;43;83;39;52;69;34;55;14;31;18;9;53;20;48;10;10;13;85;79;69;82;86
"225";"N. Otamendi";"Right";"SUB";52;54;84;75;57;51;50;39;72;70;55;57;58;78;58;69;89;65;79;56;91;83;48;53;45;79;82;84;83;12;5;8;11;12
"226";"J. Cuadrado";"Right";"SUB";78;64;58;81;70;90;78;69;69;85;90;92;91;78;81;84;74;74;58;80;78;62;78;76;65;80;63;70;74;5;5;13;6;9
"227";"I. Gueye";"Right";"SUB";60;50;69;79;32;76;45;61;77;79;74;72;82;83;80;80;88;90;69;66;85;89;65;65;54;80;84;90;83;8;6;8;12;13
"228";"K. Kampl";"Right";"CM";72;63;34;84;68;86;78;75;79;84;83;70;90;84;82;69;67;90;47;73;64;75;73;82;64;83;65;64;59;13;11;7;6;16
"229";"Rodrigo";"Left";"LS";72;80;80;80;77;82;83;67;58;82;88;91;81;82;74;83;77;74;71;76;60;31;83;77;77;80;44;41;40;7;13;10;11;5
"230";"C. Aránguiz";"Right";"LCM";78;66;53;85;68;79;75;76;84;83;72;55;80;86;86;80;61;87;64;77;80;82;76;81;76;81;76;74;72;15;7;12;8;13
"231";"W. Ben Yedder";"Right";"RS";74;88;74;80;83;85;80;76;66;84;88;81;90;83;89;81;78;68;59;69;55;44;89;80;76;84;34;33;26;6;13;9;7;7
"232";"F. Acerbi";"Left";"CB";25;37;82;73;39;65;62;56;77;72;61;52;33;83;35;75;66;82;86;60;75;86;20;65;72;85;87;86;85;11;9;9;13;11
"233";"Danilo Pereira";"Right";"LCM";55;60;77;83;55;76;48;53;81;78;62;68;57;75;60;74;62;82;89;63;83;83;69;73;57;84;83;84;71;9;7;13;14;15
"234";"A. Kramarić";"Right";"LS";76;86;69;79;85;86;79;74;53;85;76;70;83;83;83;83;69;77;67;85;73;21;84;72;90;82;35;20;26;8;14;14;7;15
"235";"Louri Beretta";"Right";"ST";56;85;83;73;82;75;59;67;47;74;79;83;55;84;55;85;84;56;87;82;65;32;83;58;77;79;26;27;24;8;11;20;19;20
"236";"Josué Chiamulera";"Right";"RCB";40;38;83;74;44;56;45;49;61;70;83;78;77;85;68;53;69;76;73;41;88;84;38;42;56;71;85;87;82;16;15;13;15;10
"237";"Ronaldo Cabrais";"Right";"RM";83;74;64;83;76;85;86;78;82;83;88;87;85;84;76;82;64;86;70;78;62;40;82;83;77;81;24;35;33;12;12;13;15;13
"238";"Oyarzabal";"Left";"LW";82;86;44;81;64;85;69;71;73;84;74;76;77;81;75;80;56;78;57;81;52;29;80;79;76;70;55;32;30;10;6;10;13;11
"239";"L. Bailey";"Left";"LM";77;75;57;76;75;86;78;79;66;82;93;90;86;80;84;79;83;76;59;79;58;21;80;77;71;75;45;27;18;12;13;6;15;14
"240";"Gabriel Jesus";"Right";"SUB";66;84;75;76;72;86;76;54;66;85;87;83;90;85;90;78;78;83;63;73;73;32;86;77;78;81;53;23;19;13;8;6;6;15
"241";"M. Kovačić";"Right";"SUB";73;61;42;88;76;86;78;68;81;89;79;73;83;76;84;79;63;78;63;75;77;71;69;83;59;81;70;72;63;9;5;6;7;7
"242";"A. Belotti";"Right";"ST";42;88;84;68;82;78;64;56;42;75;77;77;78;76;75;81;83;81;82;67;83;31;85;61;77;75;55;23;32;13;7;12;14;7
"243";"T. Strakosha";"Right";"GK";18;18;11;26;11;14;14;12;22;15;41;46;45;74;47;56;56;23;66;14;20;24;18;49;21;61;20;18;12;84;78;75;79;87
"244";"N. Keïta";"Right";"SUB";62;74;42;85;71;88;64;70;76;88;77;66;89;81;90;76;52;79;57;73;78;76;74;80;58;81;68;64;62;7;14;15;14;9
"245";"L. Torreira";"Right";"RDM";74;61;59;83;65;78;70;78;76;81;79;72;85;79;93;78;52;86;66;74;87;86;68;74;48;78;84;84;77;5;5;13;7;9
"246";"Rúben Neves";"Right";"CM";77;64;53;85;81;75;84;83;86;82;64;60;65;78;70;86;68;78;67;83;82;75;65;85;76;83;69;74;69;16;12;10;8;10
"247";"P. Kimpembe";"Left";"SUB";62;31;79;79;33;58;50;32;75;78;73;77;73;77;62;55;77;80;84;39;88;83;39;60;50;80;79;81;81;7;8;14;15;9
"248";"S. Bergwijn";"Right";"CAM";74;74;60;83;67;87;77;66;62;85;88;89;79;81;89;83;74;81;80;72;44;34;78;79;61;77;52;31;26;11;14;12;14;13
"249";"A. Onana";"Right";"GK";15;12;20;33;13;26;30;17;26;38;64;62;68;80;53;65;80;39;67;17;29;15;11;62;27;57;12;18;14;84;80;86;76;83
"250";"Nélson Semedo";"Right";"RB";76;50;58;76;42;80;61;30;65;80;91;92;88;82;82;74;80;91;65;60;81;81;72;62;38;79;77;81;80;16;12;10;14;12
"251";"A. Areola";"Right";"GK";20;19;14;48;16;12;16;16;37;22;56;54;58;79;58;60;72;38;80;14;26;23;17;51;25;64;13;18;12;85;79;80;78;84
"252";"M. Perin";"Right";"SUB";11;11;12;33;19;19;15;13;31;23;57;56;70;77;30;53;75;30;52;17;25;19;12;44;21;65;20;12;19;82;82;71;79;87
"253";"D. Rugani";"Right";"RES";40;33;84;69;35;64;45;25;65;65;61;66;61;78;55;58;83;67;78;39;72;86;28;50;36;70;86;86;82;5;10;5;5;5
"254";"A. Correa";"Right";"SUB";74;82;67;77;79;87;82;65;65;87;87;80;87;82;81;80;48;74;64;83;58;48;83;80;55;74;58;53;44;13;10;9;8;16
"255";"Iñaki Williams";"Right";"RW";78;83;71;74;74;83;76;53;66;77;93;95;80;80;64;85;88;82;85;73;73;21;84;73;64;78;52;38;31;14;15;14;10;13
"256";"H. Lozano";"Right";"RW";75;76;58;74;74;83;72;65;67;81;94;93;91;83;76;76;67;82;59;74;64;45;81;74;73;76;42;35;29;11;10;14;14;10
"257";"Gelson Martins";"Right";"RM";80;70;51;76;74;87;82;60;55;81;95;95;95;81;92;72;65;86;48;69;60;43;79;78;66;82;54;46;36;12;9;7;6;9
"258";"B. Lecomte";"Left";"GK";13;11;10;17;10;11;20;19;21;23;44;40;36;78;25;59;62;34;55;10;23;24;10;41;20;63;17;11;12;82;78;78;81;83
"259";"T. Partey";"Right";"RCM";66;68;68;84;53;79;68;58;80;81;70;75;70;81;50;83;83;91;81;80;82;79;73;78;49;75;79;83;81;11;13;9;9;7
"260";"K. Demirbay";"Left";"LF";72;74;46;85;59;86;85;81;82;85;67;67;78;84;78;77;71;77;67;77;69;71;78;86;70;84;72;59;54;14;15;11;14;14
"261";"J. Matip";"Right";"SUB";54;36;82;77;50;69;63;22;74;70;54;67;51;82;42;66;67;70;80;48;78;83;48;72;42;79;83;85;79;11;15;10;7;10
"262";"Suso";"Left";"RS";84;70;50;86;72;88;87;80;75;89;82;74;86;78;84;78;50;75;55;87;23;20;76;83;72;76;50;23;18;15;15;9;8;9
"263";"S. Savić";"Right";"SUB";35;34;85;72;27;47;34;28;69;68;52;58;60;80;45;43;86;51;77;31;83;83;29;41;37;75;86;83;83;14;13;14;13;12
"264";"A. Rüdiger";"Right";"SUB";68;32;81;75;34;60;35;56;72;69;66;76;57;82;50;72;75;61;82;44;88;80;39;57;40;72;82;85;82;14;15;10;12;8
"265";"Pacheco";"Left";"GK";14;16;10;28;13;13;20;20;29;15;48;42;62;78;53;53;73;43;75;15;29;26;14;48;23;61;17;16;13;81;79;70;83;83
"266";"Ricardo Pereira";"Right";"RB";79;62;64;80;56;82;78;45;78;81;85;86;79;81;77;73;75;85;66;62;75;81;74;76;60;81;78;83;78;16;12;15;11;11
"267";"N. Tagliafico";"Left";"LB";80;58;74;77;44;73;68;40;67;78;80;82;77;81;82;66;86;91;74;47;84;82;72;68;46;81;83;78;79;13;9;10;15;16
"268";"David Soria";"Right";"GK";15;19;24;24;19;16;23;11;33;19;49;34;45;78;42;53;60;43;76;18;24;18;12;45;23;58;22;13;13;83;81;71;82;83
"269";"Sergio Asenjo";"Right";"GK";24;14;13;39;15;15;23;22;39;14;59;54;62;79;58;58;73;41;73;13;20;22;12;46;15;64;24;15;14;84;82;77;80;81
"270";"Muniain";"Right";"LW";73;76;43;82;63;87;76;69;70;86;83;77;92;80;94;66;71;73;45;72;66;45;77;82;61;82;58;55;38;10;5;5;13;12
"271";"M. Götze";"Right";"SUB";82;78;50;88;86;85;81;72;83;90;75;67;83;86;85;78;58;79;72;73;59;66;84;87;77;87;64;44;57;14;7;12;6;10
"272";"T. Delaney";"Left";"SUB";67;72;83;77;66;74;71;68;79;77;78;76;73;81;73;78;91;90;77;74;84;85;75;74;60;79;80;83;88;8;12;11;14;15
"273";"O. Baumann";"Right";"GK";14;11;16;30;11;19;12;11;25;17;47;51;45;81;43;53;73;39;69;13;32;21;10;41;22;52;15;18;14;82;80;70;79;84
"274";"Willian José";"Right";"ST";54;84;84;78;70;76;68;60;50;80;66;71;66;81;38;84;79;70;90;76;75;35;87;78;80;78;40;32;30;15;14;16;15;8
"275";"Sergi Roberto";"Right";"SUB";83;63;72;84;50;78;78;60;78;82;77;79;69;80;74;65;43;89;69;66;68;79;69;83;57;76;75;79;78;14;16;11;15;10
"276";"N. Schulz";"Left";"LB";84;48;54;79;49;83;59;42;73;78;89;90;76;81;75;65;62;79;77;40;73;75;73;78;56;79;75;77;78;13;9;15;7;14
"277";"K. Volland";"Left";"ST";78;84;69;81;83;79;79;80;72;79;75;76;73;82;82;87;76;88;82;84;80;45;82;81;72;80;22;50;33;8;7;9;7;12
"278";"Nacho Fernández";"Right";"SUB";70;32;80;78;38;55;55;37;61;78;68;78;60;77;69;54;81;78;79;28;78;81;37;53;45;73;77;85;84;12;7;10;15;7
"279";"Gabriel Paulista";"Right";"LCB";67;42;81;76;48;60;57;46;71;69;72;70;67;81;66;61;80;77;82;50;85;82;51;65;51;69;83;83;82;15;6;15;15;7
"280";"J. Roussillon";"Left";"LM";85;63;72;78;57;80;75;56;72;81;87;90;77;78;78;75;71;84;76;65;75;78;71;73;51;77;76;82;80;9;7;13;8;15
"281";"H. Maguire";"Right";"LCB";44;48;87;76;47;69;38;46;75;75;47;53;54;80;56;68;84;70;90;52;84;78;61;66;44;82;81;83;79;14;16;9;14;9
"282";"T. Hazard";"Right";"LM";81;76;33;82;80;86;83;79;71;84;86;78;91;82;86;78;60;78;61;77;57;63;81;80;81;77;43;45;46;6;9;7;7;8
"283";"E. Forsberg";"Right";"LCM";84;70;45;85;67;82;81;77;69;87;73;68;81;82;82;73;53;69;59;74;62;43;75;83;69;77;35;26;17;13;7;9;15;11
"284";"F. Kostić";"Left";"LM";84;74;51;75;70;83;79;80;70;81;88;87;76;79;75;84;67;90;75;76;75;63;75;79;64;77;69;72;68;13;14;12;12;13
"285";"M. Politano";"Left";"SUB";80;76;40;79;75;83;79;77;76;84;85;84;90;81;87;78;53;80;43;82;63;38;76;77;70;79;63;29;29;11;12;6;8;11
"286";"Rafa";"Right";"LM";78;73;46;75;68;87;76;56;64;83;92;94;89;84;89;75;64;79;40;64;47;58;83;78;59;81;52;47;39;9;11;11;12;8
"287";"Pepe Reina";"Right";"SUB";11;14;13;19;11;10;11;11;22;23;50;63;50;82;60;62;73;34;72;15;32;22;13;65;24;64;20;22;24;79;82;82;82;81
"288";"D. De Rossi";"Right";"LCM";57;50;81;81;74;64;62;71;80;77;60;58;62;80;72;81;74;70;78;72;83;87;55;73;80;92;90;82;80;10;7;13;10;9
"289";"Aduriz";"Right";"ST";54;83;92;72;80;76;61;54;52;82;60;61;56;85;53;82;89;50;82;78;82;23;87;73;86;87;58;44;49;14;10;9;15;9
"290";"Jesús Navas";"Right";"RB";83;66;58;78;75;83;82;46;75;82;89;86;84;81;85;75;63;78;33;70;68;75;81;77;56;78;70;68;69;10;10;15;7;13
"291";"Santi Cazorla";"Right";"CAM";85;70;60;86;72;83;86;78;83;87;58;55;74;79;89;77;50;54;57;75;67;68;76;86;80;88;68;63;58;6;9;5;7;15
"292";"H. Herrera";"Right";"SUB";65;72;61;80;59;76;67;63;77;78;71;73;72;82;68;81;76;93;74;78;84;82;82;78;67;75;81;82;67;6;10;15;7;16
"293";"L. Biglia";"Right";"CM";74;50;54;86;78;80;71;76;82;84;55;55;74;80;78;77;60;71;61;75;83;82;50;80;72;80;80;78;74;14;12;7;12;7
"294";"L. Fabiański";"Right";"GK";14;13;11;20;17;14;18;12;32;22;50;47;52;75;44;53;68;25;65;20;43;16;15;52;22;63;14;12;13;80;83;70;82;84
"295";"E. Viviano";"Left";"RES";12;17;13;36;13;18;14;16;37;22;30;33;35;74;32;57;66;29;58;18;18;10;10;60;21;64;27;10;12;83;84;76;81;83
"296";"Juan Mata";"Left";"SUB";82;74;56;84;71;81;85;86;80;86;66;58;79;85;89;74;61;68;34;70;50;39;81;84;80;87;38;31;21;9;10;14;5;8
"297";"O. Giroud";"Left";"SUB";64;83;91;79;83;70;70;65;58;83;44;48;55;84;53;85;84;60;89;71;76;42;84;77;83;79;37;37;20;12;15;11;6;5
"298";"S. Kjær";"Right";"RCB";50;55;81;76;37;46;52;69;69;70;64;65;48;75;53;78;74;70;81;41;82;82;31;49;61;69;81;82;79;6;10;13;10;15
"299";"Willian";"Right";"SUB";76;77;31;80;59;88;83;84;77;82;88;82;87;80;79;84;40;77;59;81;44;55;79;83;70;79;43;57;51;14;12;13;7;13
"300";"V. Ćorluka";"Right";"LCB";68;44;83;68;38;67;66;60;67;73;49;65;57;73;46;64;81;75;86;50;81;77;45;57;49;78;79;83;82;15;9;12;14;6
"301";"M. Arnautović";"Right";"ST";78;78;74;78;79;84;79;72;74;85;77;83;69;78;66;84;67;78;84;75;84;44;83;77;77;81;43;48;39;14;15;10;10;15
"302";"A. Sánchez";"Right";"SUB";77;76;68;76;83;85;79;78;74;84;83;79;86;79;87;83;85;71;71;77;76;46;82;79;74;79;38;44;35;10;10;15;12;13
"303";"Giuliano";"Right";"CAM";77;77;59;82;65;82;67;71;80;84;85;77;85;81;85;78;61;82;74;76;72;42;81;80;79;82;49;43;38;16;11;13;9;8
"304";"A. Kolarov";"Left";"LB";90;60;80;78;64;80;85;88;77;77;71;68;62;83;58;95;79;83;74;86;86;82;78;77;80;90;82;83;81;16;15;8;16;6
"305";"M. Balotelli";"Right";"RS";64;83;67;79;78;81;75;78;66;85;75;77;71;68;50;86;74;66;83;77;70;30;78;74;91;81;10;22;20;2;2;2;4;2
"306";"Marlos";"Left";"RAM";76;79;53;81;68;87;82;72;73;88;85;82;85;77;84;77;68;78;76;78;58;51;77;82;80;84;45;44;42;6;13;13;8;9
